Player,Nation,Pos,Team,League,Age,Height,Weight,Overall,Potential,TotalStats,BaseStats,BestPosition,ValueEUR,WageEUR,ClubNumber,PreferredFoot,IntReputation,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
Florian Grillitsch,AUT,MF,Hoffenheim,Bundesliga,23.0,187,77,78,83,1913,411,CM,13500000,32000,11.0,Right,2,3,3,Medium,Medium,58,60,78,77,72,66,68,58,61,85,53,78,47,68,81,81,61,55,67,82,65,65,48,70,72,60,50,75,70,82,50,81,73,75,60
Florian Kainz,AUT,FW,Köln,Bundesliga,26.0,176,71,75,75,1888,396,LM,7000000,26000,11.0,Right,1,5,4,Medium,Medium,73,73,72,78,39,61,75,75,55,72,55,77,69,71,70,76,81,67,86,70,82,73,70,76,55,76,55,24,70,69,72,69,55,31,25
Florian Neuhaus,GER,MF,M'Gladbach,Bundesliga,22.0,183,74,79,86,1991,424,CAM,17500000,37000,32.0,Right,1,4,3,Medium,Medium,67,69,76,81,64,67,65,65,60,83,63,81,73,41,79,83,74,61,79,80,78,74,54,80,65,81,60,63,70,82,49,77,66,65,64
Florian Niederlechner,GER,FW,Augsburg,Bundesliga,28.0,187,86,78,78,1894,408,ST,10500000,35000,7.0,Right,1,4,3,High,High,78,78,64,74,35,79,54,81,69,74,78,75,62,44,56,75,74,81,67,79,66,84,64,82,79,69,80,35,79,68,69,75,27,35,28
Fran Beltrán,ESP,MF,Celta Vigo,La Liga,20.0,170,66,75,83,1952,414,CDM,10000000,16000,8.0,Right,1,3,3,Medium,Medium,65,56,74,78,75,66,72,53,60,79,55,79,54,55,77,76,66,65,77,75,77,61,58,70,64,60,68,76,63,77,49,66,78,77,76
Francesco Acerbi,ITA,DF,Lazio,Serie A,31.0,192,88,83,83,1872,406,CB,16500000,75000,33.0,Left,2,3,3,Medium,High,62,50,62,63,86,83,25,37,82,75,39,65,62,56,79,72,66,59,32,85,35,75,67,83,86,60,77,86,20,65,72,85,87,87,85
Francesco Caputo,ITA,FW,Sassuolo,Serie A,31.0,181,74,79,79,1874,397,ST,10000000,42000,9.0,Right,1,4,3,High,Low,83,79,61,78,30,66,50,82,75,68,80,77,58,54,58,76,82,83,83,82,78,77,84,67,71,71,50,14,84,65,77,72,40,20,15
Francesco Vicari,ITA,DF,SPAL,Serie A,24.0,190,80,71,76,1426,297,CB,2800000,18000,23.0,Right,1,2,2,Low,High,34,27,49,45,74,68,32,21,69,66,30,36,23,28,57,56,35,34,45,68,42,44,72,48,78,21,68,68,24,41,35,62,74,78,76
Francis Coquelin,FRA,MF,Valencia,La Liga,28.0,176,74,80,80,2120,454,CDM,14000000,41000,19.0,Right,2,3,3,Medium,High,71,67,76,80,79,81,69,64,63,82,53,80,68,41,80,80,71,71,79,82,80,75,81,80,78,71,88,83,76,80,52,78,79,82,81
Franco Vázquez,ARG,MF,Sevilla,La Liga,30.0,187,82,77,77,1976,419,CAM,7500000,27000,22.0,Left,2,3,4,Medium,Medium,53,78,79,79,58,72,73,78,68,82,81,83,79,68,76,85,52,54,66,69,32,76,45,63,76,82,78,69,76,83,67,80,50,59,48
Fred,BRA,MF,Manchester Utd,Premier League,26.0,169,62,81,83,2197,457,CM,19000000,115000,17.0,Left,1,4,4,High,High,79,71,79,83,75,70,74,69,53,80,70,82,75,74,81,83,79,79,86,84,87,78,80,87,56,70,81,82,70,81,66,84,75,79,72
Frenkie de Jong,NED,MF,Barcelona,La Liga,22.0,180,74,85,90,2185,468,CM,50500000,190000,21.0,Right,3,3,4,Medium,High,80,64,84,87,76,77,75,63,66,90,69,87,84,64,86,88,80,80,83,88,79,68,76,90,74,61,70,82,73,86,45,90,76,76,77
Gabriel Jesus,BRA,FW,Manchester City,Premier League,22.0,175,73,83,87,2070,439,ST,34500000,150000,9.0,Right,2,3,4,High,High,85,82,72,87,42,71,66,85,77,77,77,86,76,54,66,86,87,83,91,87,90,81,78,79,65,76,73,32,87,77,75,81,53,30,28
Gabriel Paulista,BRA,DF,Valencia,La Liga,28.0,185,72,82,83,1976,420,CB,21000000,46000,5.0,Right,2,2,2,Low,High,68,49,71,65,84,83,67,42,81,80,48,60,57,46,74,69,69,68,66,81,65,61,83,80,82,50,87,87,51,65,51,69,83,83,82
Gaetano Castrovilli,ITA,MF,Fiorentina,Serie A,22.0,179,72,73,81,1849,389,CAM,6000000,32000,10.0,Right,1,3,3,High,Medium,71,58,73,80,60,47,69,58,50,80,48,80,58,41,76,80,74,68,86,72,78,62,58,69,34,56,50,60,68,74,55,74,58,64,60
Gastón Ramírez,URU,MF,Sampdoria,Serie A,28.0,183,78,77,77,1915,389,CAM,8500000,22000,11.0,Left,2,3,4,Medium,Low,61,75,78,79,39,57,74,74,57,80,71,80,79,79,77,81,64,59,77,74,73,76,64,57,51,76,69,32,74,79,73,76,30,45,39
Geoffrey Kondogbia,CTA,MF,Valencia,La Liga,26.0,188,80,79,80,2144,462,CM,14000000,40000,6.0,Left,2,2,4,High,Medium,69,74,75,77,79,88,65,69,75,81,62,76,62,56,78,79,68,69,73,83,68,86,78,81,94,83,86,82,77,79,45,84,77,79,80
George Baldock,ENG,DF,Sheffield Utd,Premier League,26.0,175,67,77,78,1874,410,RWB,9000000,33000,2.0,Right,1,3,3,Medium,Medium,78,47,65,74,72,74,73,50,55,71,33,75,54,37,58,72,79,78,78,75,73,46,82,84,67,44,75,74,58,60,45,64,73,76,72
Georginio Wijnaldum,NED,MF,Liverpool,Premier League,28.0,175,69,85,85,2267,475,CM,37000000,150000,5.0,Right,3,4,4,High,High,76,75,81,86,78,79,72,75,78,88,73,85,78,73,81,88,77,76,84,86,88,78,81,93,74,73,75,79,79,79,74,86,78,79,69
Gerard Deulofeu,ESP,FW,Watford,Premier League,25.0,177,73,80,81,1945,419,RW,17500000,25000,7.0,Right,3,4,4,High,Low,88,75,75,86,30,65,76,75,40,77,72,87,84,77,62,84,89,87,93,75,83,77,35,69,67,71,60,25,77,76,77,77,34,30,22
Gerard Moreno,ESP,FW,Villarreal,La Liga,27.0,180,77,83,83,2068,435,ST,27000000,56000,7.0,Left,1,4,3,High,Medium,76,84,76,80,46,73,78,88,81,79,80,81,75,62,73,82,75,77,74,86,68,81,76,76,75,80,61,42,85,76,75,77,44,41,41
Gerard Piqué,ESP,DF,Barcelona,La Liga,32.0,194,85,86,86,1991,422,CB,21000000,220000,3.0,Right,4,3,2,High,Medium,57,61,71,67,86,80,57,65,84,81,57,63,58,43,81,80,48,64,57,88,35,62,74,69,87,51,79,87,64,72,69,87,88,86,84
Germán Pezzella,ARG,DF,Fiorentina,Serie A,28.0,186,81,78,78,1666,360,CB,8500000,50000,20.0,Right,1,3,2,Medium,Medium,54,49,47,56,80,74,40,48,82,64,40,54,46,25,56,66,55,53,33,77,48,54,82,57,78,50,82,80,47,22,35,72,78,82,78
Gervinho,CIV,FW,Parma,Serie A,32.0,179,65,78,78,1866,403,LW,6500000,38000,27.0,Right,3,3,3,High,Low,90,70,71,80,35,57,75,72,63,73,70,80,69,43,67,78,91,90,88,76,76,69,59,73,52,64,51,39,78,74,63,72,35,29,15
Giacomo Bonaventura,ITA,MF,Milan,Serie A,29.0,181,75,80,80,2176,452,CM,13500000,61000,5.0,Right,3,3,4,High,Medium,72,77,82,82,72,67,82,70,70,84,78,83,78,78,80,85,72,72,74,78,77,84,68,76,61,86,68,72,78,80,68,80,74,72,68
Gianluca Mancini,ITA,DF,Roma,Serie A,23.0,190,77,76,82,1640,357,CB,9500000,500,23.0,Right,1,3,2,Medium,High,54,45,48,57,78,75,34,48,79,59,40,51,38,34,42,70,54,54,34,77,57,51,71,73,75,34,76,78,32,51,47,66,78,79,77
Giovani Lo Celso,ARG,MF,Tottenham,Premier League,23.0,177,68,82,87,2172,459,CAM,29000000,95000,18.0,Left,1,3,4,High,High,77,77,82,85,65,73,78,76,57,83,69,85,82,77,83,86,76,77,83,82,80,82,61,78,70,78,78,70,79,85,65,81,60,70,66
Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,25.0,183,83,76,77,2045,433,RB,8000000,47000,22.0,Right,1,3,3,Medium,Medium,70,69,71,74,75,74,76,68,71,73,66,75,69,69,71,73,68,71,72,75,72,72,75,78,72,69,74,75,70,64,59,72,76,75,74
Giovanni Simeone,ARG,FW,Cagliari,Serie A,24.0,181,81,76,81,1893,396,ST,10500000,29000,9.0,Right,2,3,3,High,High,76,75,59,76,39,71,40,78,79,68,72,76,69,60,55,76,77,76,75,76,73,79,84,73,69,66,70,24,80,60,71,76,51,29,26
Gleison Bremer,BRA,DF,Torino,Serie A,22.0,188,80,71,80,1545,339,CB,3300000,20000,3.0,Right,1,2,2,Medium,Medium,59,35,48,58,71,68,34,35,75,66,33,55,28,20,54,60,58,59,61,68,59,49,74,48,75,21,72,70,28,36,43,64,69,71,72
Gonzalo Higuaín,ARG,FW,Juventus,Serie A,31.0,186,89,83,83,1906,401,ST,20500000,17000,9.0,Right,4,4,3,High,Medium,65,85,71,80,31,69,68,87,77,75,85,80,74,62,60,83,62,67,71,84,69,86,78,57,82,80,50,20,90,75,70,85,35,22,18
Goran Pandev,MKD,FW,Genoa,Serie A,36.0,184,75,72,72,1804,355,CAM,1100000,11000,19.0,Left,2,3,3,Medium,Low,44,74,71,79,37,50,69,73,68,75,78,82,80,69,65,82,54,36,61,73,72,74,70,32,56,74,52,39,78,71,68,70,23,40,35
Granit Xhaka,SUI,MF,Arsenal,Premier League,26.0,185,80,80,81,1973,416,CDM,15000000,80000,34.0,Left,3,3,3,Low,Medium,52,65,80,69,70,80,71,50,62,85,50,66,76,77,85,80,48,55,49,73,61,90,31,82,79,75,91,72,67,80,63,67,70,71,68
Gylfi Sigurðsson,ISL,MF,Everton,Premier League,29.0,186,77,79,79,2066,419,CAM,12000000,83000,10.0,Right,3,4,3,Medium,Medium,55,78,82,78,60,66,84,73,60,83,76,78,87,85,77,85,57,54,66,76,61,84,65,79,64,83,57,59,77,81,78,80,60,62,57
Hakan Çalhanoğlu,TUR,MF,Milan,Serie A,25.0,178,76,79,79,2059,422,CAM,13500000,48000,10.0,Right,3,4,4,Medium,Medium,65,75,82,84,59,57,81,65,53,83,77,85,92,86,80,86,69,62,76,78,77,86,45,71,51,88,57,61,75,80,71,78,62,56,56
Hamed Junior Traorè,CIV,MF,Sassuolo,Serie A,19.0,177,68,71,85,1896,395,CAM,5000000,14000,23.0,Right,1,3,3,High,Medium,70,66,69,75,56,59,66,66,62,73,64,76,68,64,68,74,71,69,79,70,72,73,71,67,55,63,55,46,64,68,61,66,59,57,60
Hans Hateboer,NED,DF,Atalanta,Serie A,25.0,185,72,78,79,2035,448,RM,12000000,52000,33.0,Right,1,3,3,Medium,High,83,64,72,77,76,76,80,64,76,78,58,79,50,30,70,78,81,85,68,77,74,72,74,86,70,58,77,70,77,70,47,72,77,78,77
Harry Kane,ENG,FW,Tottenham,Premier League,26.0,188,89,88,89,2172,449,ST,71000000,220000,10.0,Right,3,4,3,High,High,68,91,80,80,47,83,75,94,85,81,85,80,80,68,83,84,66,69,69,90,73,91,79,84,84,86,81,35,93,83,90,91,56,36,38
Harry Maguire,ENG,DF,Manchester Utd,Premier League,26.0,194,100,82,85,1938,410,CB,24000000,120000,5.0,Right,2,3,2,High,High,50,53,69,71,82,85,51,48,86,78,47,71,44,46,82,76,47,53,54,82,55,68,84,76,90,52,84,83,61,71,44,83,81,83,79
Harry Wilson,WAL,MF,Bournemouth,Premier League,22.0,173,70,77,83,1957,408,CAM,12000000,66000,59.0,Left,1,3,3,High,Medium,78,78,75,77,44,56,74,75,46,76,70,77,86,85,67,76,79,77,79,76,84,84,43,72,54,83,42,32,78,75,78,75,48,48,42
Harry Winks,ENG,MF,Tottenham,Premier League,23.0,176,74,79,84,2002,425,CM,15500000,69000,8.0,Right,1,3,3,Medium,High,67,58,78,82,72,68,65,55,50,84,50,81,73,68,80,82,73,62,83,80,82,63,50,79,61,60,77,76,64,81,51,83,73,76,67
Harvey Barnes,ENG,MF,Leicester City,Premier League,21.0,180,66,79,85,1896,412,CAM,17500000,80000,15.0,Right,1,4,3,High,Medium,83,72,75,80,45,57,77,74,41,78,58,81,70,64,65,80,85,82,80,79,78,71,57,72,54,75,47,43,79,78,49,74,43,49,47
Hernani,BRA,MF,Parma,Serie A,25.0,188,77,75,79,1985,417,CDM,7500000,27000,23.0,Right,1,3,3,Medium,Medium,65,69,68,71,74,70,53,63,66,75,59,73,63,78,74,74,66,64,64,73,53,78,61,67,68,77,79,77,69,67,72,69,73,76,70
Hirving Lozano,MEX,FW,Napoli,Serie A,24.0,175,70,80,83,1993,425,CAM,19000000,66000,11.0,Right,3,3,4,High,Low,93,75,71,81,41,64,73,75,58,73,74,81,72,65,65,80,93,93,90,79,76,76,67,76,57,73,64,45,78,72,73,74,42,35,29
Hugo Mallo,ESP,DF,Celta Vigo,La Liga,28.0,173,69,78,78,1848,393,RB,8500000,25000,2.0,Right,2,3,3,High,Medium,67,39,69,69,75,74,78,28,65,71,28,65,69,38,68,74,65,69,74,80,65,71,78,82,68,39,76,78,46,64,23,70,69,81,82
Iago Aspas,ESP,FW,Celta Vigo,La Liga,31.0,176,67,84,84,2060,429,ST,25000000,46000,10.0,Left,2,4,3,High,High,82,85,78,86,35,63,80,89,77,79,83,87,79,80,68,86,78,86,90,84,72,79,66,69,60,81,63,39,84,79,82,85,39,21,18
Iddrisu Baba,GHA,MF,Mallorca,La Liga,23.0,185,73,72,81,1743,380,CDM,4400000,6000,12.0,Right,1,4,2,Medium,High,64,49,60,58,72,77,43,46,63,71,42,54,46,48,66,65,65,64,49,62,62,56,59,80,76,52,80,75,43,59,52,53,67,76,73
Igor Zubeldia,ESP,MF,Real Sociedad,La Liga,22.0,181,73,79,84,2049,435,CDM,15500000,26000,5.0,Right,1,3,3,Medium,Medium,65,67,76,72,75,80,65,67,65,82,47,70,73,65,79,76,63,67,70,78,74,75,78,83,77,68,84,76,65,76,51,71,75,79,75
Ihlas Bebou,TOG,FW,Hoffenheim,Bundesliga,25.0,184,78,74,77,1854,406,RM,7000000,31000,9.0,Right,1,3,4,Medium,Medium,92,72,66,79,34,63,68,76,58,73,68,80,63,46,53,77,91,93,83,74,74,68,69,75,64,67,43,31,76,68,67,66,26,35,33
Iker Muniain,ESP,FW,Athletic Club,La Liga,26.0,170,66,83,83,2049,434,LW,27000000,41000,10.0,Right,2,3,4,Medium,Low,81,75,80,87,51,60,79,79,43,84,68,87,82,69,70,86,83,79,92,80,95,70,72,74,49,77,66,45,80,83,61,82,58,55,38
Isaac Hayden,ENG,MF,Newcastle Utd,Premier League,24.0,185,79,77,80,1867,404,CDM,10000000,35000,14.0,Right,1,4,2,Medium,High,61,56,64,71,75,77,43,48,65,77,35,71,45,38,69,76,59,62,59,77,60,72,69,79,74,61,82,75,69,72,49,75,76,75,78
Ismaël Bennacer,ALG,MF,Milan,Serie A,21.0,173,64,75,82,2065,426,CM,8500000,26000,4.0,Left,1,3,3,Medium,Medium,71,65,74,79,70,67,68,60,62,79,64,78,70,71,76,78,72,70,84,74,84,72,78,78,58,70,74,72,60,72,68,76,70,72,69
Issa Diop,FRA,DF,West Ham,Premier League,22.0,194,92,77,84,1682,367,CB,11500000,31000,23.0,Right,2,3,2,Medium,Medium,65,36,52,55,79,80,37,30,75,67,48,50,32,34,63,63,62,68,52,73,47,50,74,69,86,31,79,79,42,43,44,72,77,80,81
Ivan Rakitić,CRO,MF,Barcelona,La Liga,31.0,184,78,82,82,2142,447,CM,17000000,39000,10.0,Right,4,4,3,Medium,Medium,61,79,85,78,75,69,84,77,59,85,81,78,88,82,86,82,62,60,69,80,62,84,34,75,71,76,67,79,79,84,82,80,76,77,72
Iñaki Williams,ESP,FW,Athletic Club,La Liga,25.0,186,79,81,84,2044,443,ST,22500000,35000,9.0,Right,2,2,4,High,Medium,94,79,72,78,39,81,76,79,73,74,74,81,76,53,66,76,93,94,77,78,64,85,88,83,82,78,75,21,85,73,64,81,47,34,29
Iñigo Martínez,ESP,DF,Athletic Club,La Liga,28.0,182,77,80,81,1969,414,CB,14000000,29000,4.0,Left,2,3,2,Medium,Medium,71,56,64,62,81,80,51,42,71,72,37,53,72,51,83,71,69,72,67,78,63,81,91,72,80,74,86,85,48,50,39,69,79,83,86
Jack Cork,ENG,MF,Burnley,Premier League,30.0,183,75,77,77,1971,404,CDM,6500000,48000,4.0,Right,2,4,3,Medium,High,47,60,73,69,76,79,69,54,70,77,53,67,74,64,76,75,52,42,61,76,65,73,75,88,76,63,77,76,63,68,60,77,78,76,71
Jack Grealish,ENG,FW,Aston Villa,Premier League,23.0,180,68,80,83,1958,421,CAM,19000000,65000,10.0,Right,1,3,4,Medium,Medium,76,74,80,84,46,61,78,73,36,81,72,85,76,74,77,82,78,74,85,79,82,75,37,76,61,77,48,44,76,83,58,82,48,49,43
Jack O'Connell,ENG,DF,Sheffield Utd,Premier League,25.0,191,85,78,82,1757,387,CB,12000000,36000,5.0,Left,1,2,2,High,Medium,62,37,64,63,79,82,71,35,76,71,30,62,47,32,64,67,59,65,54,78,48,41,81,79,83,40,82,79,42,58,34,67,80,79,74
Jack Stephens,ENG,DF,Southampton,Premier League,25.0,185,75,75,79,1772,377,CB,7500000,42000,5.0,Right,1,2,2,Medium,Medium,59,42,61,67,77,71,47,36,75,70,34,66,55,58,67,69,57,61,63,75,57,55,67,66,75,42,68,77,47,56,42,67,76,78,76
Jacopo Petriccione,ITA,MF,Lecce,Serie A,24.0,176,75,69,73,1713,358,CM,1300000,16000,4.0,Right,1,3,3,Medium,Medium,54,51,70,68,55,60,63,49,59,76,39,67,50,42,74,73,59,50,61,66,68,57,61,58,61,46,61,55,71,74,49,57,50,58,58
Jadon Sancho,ENG,FW,Dortmund,Bundesliga,19.0,180,76,87,93,1986,430,CAM,69500000,82000,7.0,Right,3,3,5,High,Medium,83,74,81,91,37,64,83,81,38,88,83,92,81,48,68,91,86,81,91,87,90,70,51,77,67,63,44,39,83,87,60,84,32,41,32
Jaime Mata,ESP,FW,Getafe,La Liga,30.0,185,79,79,79,1836,393,ST,11500000,36000,7.0,Right,1,3,3,High,Medium,69,80,61,76,31,76,63,84,75,65,73,79,55,48,51,79,67,71,64,84,46,79,73,71,78,71,80,19,85,66,76,76,29,28,29
Jakub Jankto,CZE,MF,Sampdoria,Serie A,23.0,180,74,74,80,1980,420,CAM,7500000,15000,14.0,Left,2,3,4,High,High,75,69,71,75,67,63,70,66,68,74,60,75,70,50,73,75,76,75,74,72,74,78,59,69,58,74,68,64,74,73,50,73,68,68,64
Jamal Lewis,NIR,DF,Norwich City,Premier League,21.0,177,70,74,84,1822,399,LB,8000000,26000,15.0,Left,1,3,3,High,High,78,51,62,72,70,66,67,50,54,69,51,73,56,40,61,71,77,78,74,68,74,60,66,86,61,44,51,70,70,54,38,79,72,74,69
James Maddison,ENG,MF,Leicester City,Premier League,22.0,175,73,81,85,2071,429,CAM,23000000,82000,10.0,Right,1,4,4,High,Medium,75,76,84,82,54,58,81,72,35,84,70,81,85,84,82,84,76,74,86,75,83,82,54,75,49,81,62,44,79,88,74,82,59,65,42
James McArthur,SCO,MF,Crystal Palace,Premier League,31.0,178,66,75,75,1999,417,CDM,5000000,46000,18.0,Right,1,3,3,High,High,58,66,72,73,74,74,66,68,66,78,57,71,58,61,74,77,61,55,69,80,75,65,68,81,66,61,88,75,75,72,64,80,75,76,72
James McCarthy,IRL,MF,Crystal Palace,Premier League,28.0,180,72,76,76,1951,405,CDM,6500000,46000,22.0,Right,2,4,3,Medium,High,57,60,74,73,75,66,68,55,63,79,61,74,64,64,77,74,61,54,68,70,67,67,65,60,64,64,80,77,63,72,60,74,76,76,74
James Tarkowski,ENG,DF,Burnley,Premier League,26.0,185,81,80,81,1862,394,CB,15000000,59000,5.0,Right,1,4,2,Medium,High,59,45,67,63,81,79,59,40,82,74,40,61,54,53,73,68,55,63,55,79,53,63,82,69,82,38,85,82,43,65,52,78,81,82,79
James Ward-Prowse,ENG,MF,Southampton,Premier League,24.0,173,66,79,83,2109,427,CM,16000000,58000,8.0,Right,2,3,3,Medium,Medium,60,72,85,77,66,67,89,70,57,85,51,75,91,89,82,82,66,55,75,75,77,78,65,90,56,75,67,67,67,82,82,79,67,68,62
Jamie Vardy,ENG,FW,Leicester City,Premier League,32.0,179,74,86,86,2119,447,ST,28000000,160000,9.0,Right,3,3,3,High,High,88,85,66,78,55,75,68,92,79,69,82,77,67,57,48,81,90,87,72,90,75,87,79,79,68,65,87,49,92,73,84,87,57,50,53
Jamilu Collins,NGA,DF,Paderborn 07,Bundesliga,24.0,183,73,72,75,1740,384,LB,3400000,13000,29.0,Left,1,3,3,High,Medium,78,36,59,73,67,71,69,29,58,67,35,73,56,32,49,71,85,72,77,70,74,42,70,77,69,38,71,66,61,49,34,62,68,71,66
Jan Bednarek,POL,DF,Southampton,Premier League,23.0,189,77,77,83,1589,346,CB,11000000,41000,35.0,Right,1,3,2,Medium,High,62,22,53,55,79,75,44,19,76,65,20,50,23,26,55,59,55,68,56,79,61,25,80,69,77,23,78,82,26,52,32,62,79,79,75
Janik Haberer,GER,MF,Freiburg,Bundesliga,25.0,186,76,75,76,1933,405,CM,7500000,23000,19.0,Right,1,3,3,Medium,Medium,63,63,71,75,63,70,59,57,56,78,58,76,69,55,72,77,63,63,71,76,58,75,61,86,65,63,67,72,70,76,61,66,59,64,58
Javi Moyano,ESP,DF,Valladolid,La Liga,33.0,180,71,71,71,1792,376,RB,825000,12000,17.0,Right,1,2,2,Medium,High,68,45,58,62,71,72,58,33,60,65,45,58,62,53,49,63,68,68,72,70,67,63,73,75,73,51,65,75,59,52,46,59,75,69,70
Javier Ontiveros,ESP,FW,Villarreal,La Liga,21.0,172,75,75,82,1824,389,CAM,9500000,20000,15.0,Right,1,3,4,High,Medium,78,75,73,77,35,51,76,73,32,74,58,78,77,79,71,77,77,78,78,65,86,82,37,74,45,80,43,36,69,68,68,72,41,32,27
Jay Rodriguez,ENG,FW,Burnley,Premier League,30.0,185,84,76,76,1904,399,ST,7500000,53000,19.0,Right,2,4,3,High,Medium,71,77,68,72,42,69,68,77,79,69,76,72,69,39,66,74,67,75,69,76,64,78,80,76,74,76,45,44,78,73,78,77,48,30,21
Jean-Paul Boëtius,NED,MF,Mainz 05,Bundesliga,25.0,178,73,76,77,1941,412,RM,9000000,27000,5.0,Right,1,4,4,Medium,High,81,70,73,81,43,64,72,70,57,75,72,81,80,60,65,80,84,79,87,74,75,71,68,83,60,70,47,39,75,76,61,72,43,43,38
Jefferson Lerma,COL,MF,Bournemouth,Premier League,24.0,179,70,77,80,2050,432,CDM,10000000,14000,8.0,Right,1,4,3,Medium,High,71,64,71,73,74,79,66,56,65,76,56,71,66,65,75,75,70,72,74,71,76,79,84,81,74,71,88,76,59,65,58,72,73,76,75
Jens Stryger Larsen,DEN,DF,Udinese,Serie A,28.0,182,82,75,75,1988,429,RM,6500000,18000,19.0,Right,1,3,3,Medium,Medium,78,60,72,73,69,77,76,58,60,75,60,71,62,48,71,75,78,78,70,79,72,68,78,86,74,58,74,71,71,70,50,64,67,73,72
Jeremy Toljan,GER,DF,Sassuolo,Serie A,24.0,182,73,73,76,1769,392,RWB,4400000,22000,22.0,Right,2,4,3,Medium,Medium,86,42,62,69,66,67,75,39,49,70,41,68,39,32,63,71,87,86,73,67,70,49,80,72,65,38,62,68,56,48,39,58,63,72,71
Jesús Navas,ESP,DF,Sevilla,La Liga,33.0,172,60,84,84,2170,456,RB,11000000,43000,16.0,Right,2,2,4,High,Medium,87,69,79,83,80,58,83,66,75,81,75,84,82,46,75,83,90,84,81,84,84,75,63,81,39,70,75,83,81,80,56,81,81,78,80
Jhon Chancellor,VEN,DF,Brescia,Serie A,27.0,197,87,69,69,1557,343,CB,925000,16000,4.0,Right,1,3,2,Medium,High,61,44,46,48,69,75,39,38,75,58,37,44,27,25,50,51,55,65,54,66,45,68,65,59,86,39,72,66,27,40,47,63,68,70,67
Jhon Córdoba,COL,FW,Köln,Bundesliga,26.0,188,85,78,79,1965,422,ST,12000000,50000,15.0,Right,1,3,3,High,Medium,78,78,61,74,44,87,55,79,72,67,76,75,60,54,54,72,79,78,67,79,77,88,84,76,90,69,92,48,78,62,69,76,42,39,31
Joan Jordán,ESP,MF,Sevilla,La Liga,25.0,183,74,79,82,2061,438,CM,15500000,30000,8.0,Right,1,4,4,Medium,Medium,65,75,79,77,67,75,70,75,47,82,59,79,83,81,81,80,62,68,67,77,61,80,56,79,73,78,80,69,69,80,69,75,67,76,54
Joaquín,ESP,MF,Betis,La Liga,38.0,179,75,80,80,1959,412,CAM,5000000,22000,17.0,Right,2,3,4,High,Medium,69,79,83,80,44,57,84,81,63,83,68,83,86,77,82,81,67,71,68,83,70,80,31,51,64,78,55,35,82,84,75,81,41,47,39
Joaquín Correa,ARG,FW,Lazio,Serie A,24.0,188,77,81,84,1972,430,CAM,22500000,73000,11.0,Right,1,4,4,High,Medium,84,75,77,86,39,69,74,77,68,81,75,88,81,63,74,86,81,86,84,80,67,79,63,76,74,71,48,36,79,78,57,73,39,37,26
Joe Gomez,ENG,DF,Liverpool,Premier League,22.0,188,77,83,88,1824,410,CB,31000000,93000,12.0,Right,2,3,3,Medium,Medium,82,30,66,69,83,80,69,26,74,78,24,67,41,29,65,73,78,85,65,83,66,41,76,74,83,26,81,84,51,60,26,74,83,85,82
Joel Ward,ENG,DF,Crystal Palace,Premier League,29.0,188,83,76,76,1824,395,RB,6000000,44000,2.0,Right,1,3,3,Medium,High,61,52,67,66,78,71,74,46,74,71,33,64,43,34,69,69,59,62,62,77,60,64,65,69,71,59,74,79,64,66,40,72,78,77,78
Joelinton,BRA,FW,Newcastle Utd,Premier League,22.0,186,81,75,81,1862,407,ST,9500000,34000,9.0,Right,1,4,3,High,Medium,77,72,60,74,43,81,44,75,75,73,65,76,52,38,56,73,75,79,69,72,67,81,76,75,85,62,78,45,73,66,61,72,29,48,38
John Egan,IRL,DF,Sheffield Utd,Premier League,26.0,188,75,78,80,1761,381,CB,11000000,36000,12.0,Right,1,3,2,Low,Medium,64,46,54,61,79,77,32,43,76,72,50,55,36,29,69,68,62,65,60,81,66,62,77,69,80,41,79,81,38,44,42,65,80,80,76
John Fleck,SCO,MF,Sheffield Utd,Premier League,27.0,169,72,77,77,2111,442,CM,9000000,38000,4.0,Left,1,2,3,Medium,High,71,71,78,77,70,75,78,67,44,79,79,77,78,70,78,76,76,66,79,77,84,78,79,86,66,73,84,75,68,78,60,75,76,70,69
John Lundstram,ENG,MF,Sheffield Utd,Premier League,25.0,181,74,76,78,1948,418,CM,9000000,34000,7.0,Right,1,5,3,Medium,High,64,69,70,71,71,73,52,72,63,77,48,69,71,54,76,75,65,64,68,78,58,73,58,84,66,67,78,76,77,76,46,72,70,72,72
John McGinn,SCO,MF,Aston Villa,Premier League,24.0,178,68,76,81,2075,441,CM,10000000,49000,7.0,Left,1,4,3,High,High,70,71,72,78,71,79,64,71,59,76,71,80,66,61,75,75,73,68,77,75,79,72,75,89,76,73,76,73,72,75,55,64,69,75,69
Jon Moncayola,ESP,MF,Osasuna,La Liga,21.0,184,73,74,83,1888,409,CM,8000000,20000,27.0,Right,1,3,3,Medium,High,68,64,72,69,69,67,66,66,50,76,50,68,56,49,77,72,68,68,68,70,68,65,55,73,66,65,67,74,68,75,46,74,69,72,71
