Player,Nation,Pos,Team,League,Age,Height,Weight,MatchesPlayed,Starts,MinutesPlayed,Goals,Assists,PenaltyGoals,PenaltiesAtt,YellowCards,RedCards,Per90MinutesGls,Per90MinutesAst,Per90MinutesG+A,Per90MinutesG-PK,Per90MinutesG+A-PK,xG,npxG,xA,Per90MinutesxG,Per90MinutesxA,Per90MinutesxG+xA,Per90MinutesnpxG,Per90MinutesnpxG+xA,90sPlayed,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VsDribblesTkl,VsDribblesAtt,VsDribblesTkl%,VsDribblesPast,Pressures,SuccessfulPressures,Pressures%,PressuresDef3rd,PressuresMid3rd,PressuresAtt3rd,Blocks,BlockedShots,BlockedSoT,BlockedPasses,PassesIntercepted,Tkl+Int,Clearances,ErrorsLeadingToShot,SCA,SCA90,SCATypesPassLive,SCATypesPassDead,SCATypesDrib,SCATypesSh,SCATypesFld,GCA,GCA90,GCATypesPassLive,GCATypesPassDead,GCATypesDrib,GCATypesSh,GCATypesFld,GCATypesOG,TotalCmp,TotalAtt,TotalCmp%,TotalTotDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,LongAst,LongxA,LongA-xA,LongKP,Long,LongPPA,LongCrsPA,LongProg,PassTypesLive,PassTypesDead,PassTypesFK,PassTypesTB,PassTypesPress,PassTypesSw,PassTypesCrs,PassTypesCK,CornerKicksIn,CornerKicksOut,CornerKicksStr,GroundPasses,LowPasses,HighPasses,LeftFootPasses,RightFootPasses,HeadedPasses,ThrowInsTaken,MiscPasses,OutcomesOff,OutcomesOut,OutcomesInt,OutcomesBlocks,TouchesTouches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,TouchesLive,DribblesSucc,DribblesAtt,DribblesSucc%,Dribbles#Pl,DribblesMegs,Carries,CarriesTotDist,CarriesPrgDist,ReceivingTarg,ReceivingRec,ReceivingRec%,ReceivingMiscon,ReceivingDispos,StandardSh,StandardSoT,StandardSoT%,StandardSh/90,StandardSoT/90,StandardG/Sh,StandardG/SoT,StandardFK,ExpectednpxG/Sh,ExpectedG-xG,Expectednp:G-xG
Marc Bartra,ESP,DF,Betis,La Liga,28.0,184,73,30,29,2524,3,1,0,0,8,0,0.11,0.04,0.14,0.11,0.14,1.6,1.6,1.0,0.06,0.04,0.09,0.06,0.09,28.0,62.0,37,41.0,21.0,0.0,16.0,37.0,43.2,21.0,339.0,112.0,33.0,175.0,149.0,15.0,59.0,27.0,0.0,32.0,25,87,181.0,0.0,12.0,0.43,10.0,0.0,0.0,2.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,1422.0,1637.0,86.9,30963.0,8554.0,21.0,32.0,65.6,943.0,1021.0,92.4,458.0,584.0,78.4,1,1.0,0.0,3.0,79.0,6.0,0.0,69.0,1564.0,73.0,71.0,5.0,239.0,50.0,2,0.0,0.0,0.0,0.0,1141.0,191.0,305.0,136.0,1356.0,76.0,0.0,14.0,7.0,22.0,9.0,13.0,2001.0,310.0,1117.0,878.0,106.0,31.0,1935.0,13.0,19.0,68.4,16.0,2.0,1223.0,6492.0,3635.0,1338.0,1295.0,96.8,16.0,11.0,21,5,23.8,0.75,0.18,0.14,0.6,0.0,0.08,1.4,1.4
Marc Cucurella,ESP,MF,Getafe,La Liga,21.0,172,66,37,37,3237,1,5,0,0,9,0,0.03,0.14,0.17,0.03,0.17,1.8,1.8,4.7,0.05,0.13,0.18,0.05,0.18,36.0,88.0,62,31.0,45.0,12.0,27.0,82.0,32.9,55.0,939.0,303.0,32.3,229.0,461.0,249.0,76.0,8.0,1.0,68.0,29,117,41.0,0.0,89.0,2.47,71.0,6.0,2.0,2.0,8.0,8.0,0.22,7.0,0.0,0.0,0.0,1.0,0.0,939.0,1408.0,66.7,16001.0,6392.0,24.0,102.0,23.5,767.0,954.0,80.4,148.0,352.0,42.0,5,4.7,0.3,49.0,87.0,51.0,24.0,211.0,1226.0,182.0,25.0,2.0,283.0,51.0,104,15.0,0.0,0.0,1.0,709.0,349.0,350.0,851.0,268.0,107.0,142.0,4.0,13.0,58.0,28.0,82.0,1819.0,41.0,296.0,828.0,813.0,65.0,1643.0,24.0,48.0,50.0,29.0,2.0,1059.0,5590.0,3315.0,1350.0,1009.0,74.7,65.0,43.0,31,6,19.4,0.86,0.17,0.03,0.17,2.0,0.06,-0.8,-0.8
Marc Roca,ESP,MF,Espanyol,La Liga,22.0,184,74,35,35,3008,2,1,2,2,8,0,0.06,0.03,0.09,0.0,0.03,2.4,0.9,2.6,0.07,0.08,0.15,0.03,0.1,33.4,85.0,61,35.0,43.0,7.0,29.0,87.0,33.3,58.0,707.0,205.0,29.0,241.0,401.0,65.0,42.0,11.0,0.0,31.0,30,115,75.0,1.0,59.0,1.77,45.0,10.0,2.0,2.0,0.0,4.0,0.12,3.0,1.0,0.0,0.0,0.0,0.0,1389.0,1731.0,80.2,29813.0,9464.0,26.0,55.0,47.3,958.0,1094.0,87.6,405.0,582.0,69.6,1,2.6,-1.6,26.0,218.0,23.0,5.0,237.0,1653.0,78.0,59.0,6.0,232.0,90.0,21,16.0,7.0,6.0,1.0,1045.0,216.0,470.0,1287.0,307.0,103.0,1.0,10.0,6.0,30.0,15.0,29.0,2036.0,85.0,464.0,1394.0,297.0,18.0,1960.0,16.0,25.0,64.0,17.0,0.0,1286.0,6774.0,3543.0,1416.0,1308.0,92.4,28.0,20.0,29,3,10.3,0.87,0.09,0.0,0.0,2.0,0.03,-0.4,-0.9
Marcel Halstenberg,GER,DF,RB Leipzig,Bundesliga,27.0,188,87,29,28,2520,3,3,0,0,6,1,0.11,0.11,0.21,0.11,0.21,2.3,2.3,2.8,0.08,0.1,0.18,0.08,0.18,28.0,50.0,20,29.0,19.0,2.0,26.0,61.0,42.6,35.0,321.0,112.0,34.9,147.0,142.0,32.0,56.0,10.0,0.0,46.0,28,78,92.0,0.0,62.0,2.21,51.0,7.0,3.0,1.0,0.0,11.0,0.39,9.0,1.0,1.0,0.0,0.0,0.0,1605.0,1909.0,84.1,30109.0,9791.0,16.0,50.0,32.0,1252.0,1397.0,89.6,337.0,462.0,72.9,3,2.8,0.2,35.0,125.0,18.0,6.0,194.0,1680.0,229.0,50.0,1.0,250.0,36.0,27,27.0,7.0,12.0,4.0,1281.0,305.0,323.0,1392.0,252.0,70.0,152.0,7.0,8.0,22.0,28.0,36.0,2195.0,132.0,668.0,1241.0,402.0,54.0,1966.0,24.0,34.0,70.6,24.0,1.0,1361.0,7378.0,4437.0,1470.0,1388.0,94.4,8.0,15.0,31,9,29.0,1.11,0.32,0.1,0.33,7.0,0.07,0.7,0.7
Marcel Sabitzer,AUT,MF,RB Leipzig,Bundesliga,25.0,178,76,32,30,2499,9,7,0,0,4,0,0.32,0.25,0.58,0.32,0.58,7.1,7.1,4.6,0.25,0.17,0.42,0.25,0.42,27.8,38.0,29,13.0,18.0,7.0,17.0,59.0,28.8,42.0,485.0,179.0,36.9,107.0,271.0,107.0,34.0,5.0,0.0,29.0,14,52,29.0,0.0,102.0,3.67,87.0,6.0,2.0,5.0,2.0,12.0,0.43,10.0,0.0,0.0,1.0,1.0,0.0,1163.0,1532.0,75.9,20425.0,7057.0,39.0,100.0,39.0,902.0,1074.0,84.0,222.0,358.0,62.0,7,4.6,2.4,56.0,115.0,57.0,11.0,205.0,1405.0,127.0,31.0,4.0,275.0,42.0,65,16.0,2.0,6.0,2.0,846.0,352.0,334.0,214.0,1159.0,55.0,80.0,7.0,11.0,24.0,28.0,65.0,1825.0,37.0,272.0,968.0,697.0,78.0,1698.0,25.0,39.0,64.1,26.0,3.0,1194.0,5918.0,3170.0,1505.0,1293.0,85.9,35.0,37.0,71,24,33.8,2.56,0.86,0.13,0.38,8.0,0.1,1.9,1.9
Marcelo Brozović,CRO,MF,Inter,Serie A,26.0,181,68,32,30,2701,3,6,0,0,9,0,0.1,0.2,0.3,0.1,0.3,3.3,3.3,2.8,0.11,0.09,0.21,0.11,0.21,30.0,72.0,56,29.0,36.0,7.0,29.0,90.0,32.2,61.0,639.0,160.0,25.0,234.0,303.0,102.0,50.0,10.0,1.0,40.0,34,106,52.0,1.0,94.0,3.13,77.0,7.0,2.0,8.0,0.0,15.0,0.5,14.0,1.0,0.0,0.0,0.0,0.0,1905.0,2159.0,88.2,40559.0,9543.0,28.0,60.0,46.7,1272.0,1386.0,91.8,605.0,713.0,84.9,6,2.8,3.2,39.0,193.0,39.0,3.0,212.0,2032.0,127.0,92.0,3.0,306.0,123.0,29,26.0,8.0,3.0,2.0,1514.0,364.0,281.0,288.0,1775.0,68.0,7.0,4.0,11.0,25.0,36.0,32.0,2492.0,100.0,617.0,1506.0,538.0,38.0,2372.0,21.0,28.0,75.0,22.0,0.0,1713.0,9496.0,4079.0,1886.0,1798.0,95.3,19.0,23.0,56,16,28.6,1.87,0.53,0.05,0.19,2.0,0.06,-0.3,-0.3
Marco Calderoni,ITA,DF,Lecce,Serie A,30.0,183,75,26,24,2064,3,2,0,0,7,0,0.13,0.09,0.22,0.13,0.22,0.7,0.7,2.1,0.03,0.09,0.12,0.03,0.12,22.9,45.0,30,28.0,15.0,2.0,22.0,46.0,47.8,24.0,347.0,87.0,25.1,174.0,131.0,42.0,60.0,11.0,0.0,49.0,28,73,48.0,0.0,38.0,1.66,26.0,8.0,1.0,2.0,1.0,5.0,0.22,3.0,1.0,0.0,1.0,0.0,0.0,829.0,1122.0,73.9,15879.0,6224.0,10.0,67.0,14.9,645.0,730.0,88.4,174.0,325.0,53.5,2,2.1,-0.1,21.0,41.0,33.0,19.0,128.0,891.0,231.0,32.0,1.0,140.0,34.0,75,23.0,1.0,11.0,1.0,580.0,223.0,319.0,830.0,96.0,12.0,176.0,3.0,5.0,17.0,19.0,61.0,1368.0,85.0,483.0,573.0,399.0,25.0,1144.0,12.0,18.0,66.7,12.0,1.0,790.0,4060.0,2227.0,896.0,805.0,89.8,21.0,13.0,23,5,21.7,1.0,0.22,0.13,0.6,0.0,0.03,2.3,2.3
Marco Friedl,AUT,DF,Werder Bremen,Bundesliga,21.0,187,82,27,24,2183,1,3,0,0,9,0,0.04,0.12,0.16,0.04,0.16,1.2,1.2,1.9,0.05,0.08,0.13,0.05,0.13,24.3,69.0,44,45.0,20.0,4.0,28.0,60.0,46.7,32.0,370.0,107.0,28.9,219.0,111.0,40.0,56.0,7.0,0.0,49.0,31,100,94.0,0.0,35.0,1.44,23.0,11.0,0.0,0.0,1.0,4.0,0.16,3.0,0.0,0.0,0.0,1.0,0.0,989.0,1292.0,76.5,20285.0,6667.0,7.0,43.0,16.3,748.0,861.0,86.9,234.0,388.0,60.3,3,1.9,1.1,22.0,64.0,25.0,13.0,155.0,1013.0,279.0,47.0,3.0,189.0,61.0,52,24.0,13.0,6.0,2.0,711.0,207.0,374.0,787.0,253.0,30.0,208.0,3.0,4.0,17.0,15.0,47.0,1583.0,109.0,552.0,769.0,343.0,14.0,1326.0,13.0,18.0,72.2,13.0,0.0,908.0,4281.0,2195.0,928.0,870.0,93.8,18.0,20.0,12,3,25.0,0.49,0.12,0.08,0.33,1.0,0.1,-0.2,-0.2
Marco Mancosu,ITA,MF,Lecce,Serie A,30.0,180,77,33,28,2440,14,2,9,11,3,0,0.52,0.07,0.59,0.18,0.26,15.2,6.8,3.9,0.56,0.15,0.7,0.25,0.4,27.1,27.0,17,9.0,11.0,7.0,6.0,51.0,11.8,45.0,415.0,96.0,23.1,117.0,192.0,106.0,31.0,11.0,0.0,20.0,13,40,23.0,0.0,71.0,2.62,59.0,1.0,4.0,2.0,5.0,5.0,0.18,3.0,0.0,1.0,0.0,1.0,0.0,682.0,908.0,75.1,11167.0,2764.0,29.0,71.0,40.8,527.0,648.0,81.3,126.0,189.0,66.7,2,3.9,-1.9,35.0,64.0,24.0,6.0,77.0,889.0,19.0,5.0,3.0,215.0,25.0,40,4.0,0.0,0.0,0.0,565.0,180.0,163.0,121.0,718.0,35.0,7.0,14.0,3.0,29.0,21.0,39.0,1200.0,37.0,221.0,592.0,479.0,110.0,1160.0,27.0,42.0,64.3,28.0,0.0,763.0,5237.0,3263.0,1092.0,863.0,79.0,47.0,28.0,72,22,30.6,2.66,0.81,0.07,0.23,10.0,0.09,-1.2,-1.8
Marco Parolo,ITA,MF,Lazio,Serie A,34.0,184,75,29,17,1700,1,0,0,0,8,0,0.05,0.0,0.05,0.05,0.05,1.1,1.1,0.5,0.06,0.03,0.08,0.06,0.08,18.9,60.0,33,22.0,26.0,12.0,13.0,60.0,21.7,47.0,393.0,104.0,26.5,162.0,171.0,60.0,52.0,14.0,0.0,38.0,14,74,54.0,0.0,19.0,1.01,16.0,1.0,0.0,1.0,1.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,666.0,770.0,86.5,11862.0,3289.0,16.0,30.0,53.3,531.0,591.0,89.8,119.0,149.0,79.9,0,0.5,-0.5,7.0,73.0,5.0,2.0,73.0,757.0,13.0,12.0,0.0,129.0,16.0,6,0.0,0.0,0.0,0.0,522.0,116.0,132.0,178.0,519.0,52.0,1.0,2.0,2.0,11.0,4.0,14.0,991.0,61.0,290.0,555.0,198.0,27.0,978.0,5.0,9.0,55.6,6.0,1.0,522.0,2160.0,994.0,627.0,566.0,90.3,12.0,9.0,17,6,35.3,0.9,0.32,0.06,0.17,0.0,0.06,-0.1,-0.1
Marco Richter,GER,MF,Augsburg,Bundesliga,21.0,176,74,31,26,2280,4,3,0,0,2,0,0.16,0.12,0.28,0.16,0.28,4.5,4.5,1.9,0.18,0.08,0.25,0.18,0.25,25.3,24.0,15,10.0,7.0,7.0,11.0,62.0,17.7,51.0,464.0,110.0,23.7,112.0,217.0,135.0,35.0,0.0,0.0,35.0,15,39,18.0,0.0,55.0,2.17,35.0,2.0,8.0,5.0,5.0,6.0,0.24,4.0,0.0,0.0,0.0,2.0,0.0,361.0,596.0,60.6,6958.0,2304.0,16.0,47.0,34.0,256.0,377.0,67.9,89.0,172.0,51.7,3,1.9,1.1,18.0,32.0,21.0,6.0,66.0,570.0,26.0,6.0,8.0,156.0,42.0,38,7.0,3.0,3.0,0.0,276.0,147.0,173.0,144.0,384.0,30.0,11.0,7.0,6.0,19.0,20.0,35.0,1017.0,22.0,167.0,488.0,442.0,63.0,988.0,49.0,112.0,43.8,59.0,4.0,760.0,4802.0,2552.0,937.0,667.0,71.2,82.0,67.0,63,18,28.6,2.49,0.71,0.06,0.22,5.0,0.07,-0.5,-0.5
Marcos Llorente,ESP,MF,Atlético Madrid,La Liga,24.0,184,74,29,16,1368,3,3,0,0,4,0,0.2,0.2,0.39,0.2,0.39,1.9,1.9,3.0,0.12,0.2,0.32,0.12,0.32,15.2,33.0,22,8.0,19.0,6.0,8.0,26.0,30.8,18.0,309.0,98.0,31.7,58.0,167.0,84.0,30.0,5.0,0.0,25.0,6,39,15.0,0.0,27.0,1.78,21.0,0.0,4.0,0.0,2.0,7.0,0.46,3.0,0.0,2.0,0.0,2.0,0.0,395.0,507.0,77.9,6233.0,1632.0,18.0,45.0,40.0,320.0,379.0,84.4,57.0,83.0,68.7,3,3.0,0.0,15.0,27.0,10.0,2.0,39.0,501.0,6.0,2.0,1.0,116.0,8.0,18,0.0,0.0,0.0,0.0,393.0,60.0,54.0,48.0,416.0,29.0,0.0,4.0,2.0,10.0,10.0,27.0,676.0,22.0,114.0,389.0,208.0,51.0,671.0,25.0,33.0,75.8,27.0,1.0,497.0,3237.0,1572.0,534.0,446.0,83.5,19.0,31.0,14,5,35.7,0.92,0.33,0.21,0.6,0.0,0.13,1.1,1.1
Marcus Ingvartsen,DEN,MF,Union Berlin,Bundesliga,23.0,186,84,28,20,1716,5,2,1,1,4,0,0.26,0.1,0.37,0.21,0.31,4.0,3.2,1.1,0.21,0.06,0.27,0.17,0.23,19.1,20.0,11,7.0,8.0,5.0,8.0,31.0,25.8,23.0,485.0,130.0,26.8,106.0,218.0,161.0,26.0,1.0,0.0,25.0,10,30,18.0,0.0,29.0,1.52,22.0,0.0,2.0,2.0,2.0,5.0,0.26,4.0,0.0,0.0,0.0,0.0,1.0,342.0,502.0,68.1,5132.0,1063.0,14.0,38.0,36.8,284.0,379.0,74.9,44.0,85.0,51.8,2,1.1,0.9,9.0,19.0,7.0,2.0,28.0,493.0,9.0,1.0,0.0,141.0,4.0,13,1.0,0.0,1.0,0.0,271.0,141.0,90.0,301.0,101.0,46.0,2.0,9.0,2.0,18.0,14.0,23.0,736.0,21.0,127.0,334.0,327.0,58.0,725.0,22.0,36.0,61.1,23.0,1.0,434.0,2858.0,1499.0,698.0,447.0,64.0,46.0,26.0,43,13,30.2,2.26,0.68,0.09,0.31,1.0,0.08,1.0,0.8
Marcus Rashford,ENG,FW,Manchester Utd,Premier League,21.0,186,70,31,31,2643,17,7,6,8,3,0,0.58,0.24,0.82,0.37,0.61,17.3,11.2,4.6,0.59,0.16,0.74,0.38,0.54,29.4,12.0,6,1.0,7.0,4.0,7.0,28.0,25.0,21.0,378.0,102.0,27.0,32.0,175.0,171.0,26.0,0.0,0.0,26.0,8,20,20.0,0.0,93.0,3.17,65.0,2.0,11.0,4.0,10.0,20.0,0.68,11.0,0.0,4.0,0.0,4.0,1.0,758.0,988.0,76.7,12428.0,3377.0,22.0,63.0,34.9,634.0,768.0,82.6,102.0,157.0,65.0,7,4.6,2.4,33.0,61.0,67.0,4.0,141.0,961.0,27.0,2.0,8.0,162.0,26.0,29,9.0,5.0,1.0,2.0,742.0,120.0,126.0,89.0,833.0,28.0,8.0,14.0,3.0,18.0,26.0,43.0,1378.0,20.0,91.0,559.0,853.0,163.0,1332.0,72.0,132.0,54.5,77.0,13.0,1019.0,7485.0,5234.0,1557.0,1103.0,70.8,71.0,48.0,84,38,45.2,2.86,1.29,0.13,0.29,16.0,0.13,-0.3,-0.2
Marcus Thuram,FRA,FW,M'Gladbach,Bundesliga,21.0,192,87,31,28,2202,10,8,0,0,3,0,0.41,0.33,0.74,0.41,0.74,10.2,10.2,6.8,0.42,0.28,0.69,0.42,0.69,24.5,24.0,18,9.0,8.0,7.0,11.0,29.0,37.9,18.0,457.0,105.0,23.0,65.0,198.0,194.0,28.0,1.0,0.0,27.0,11,35,22.0,0.0,76.0,3.11,48.0,0.0,14.0,2.0,12.0,13.0,0.53,8.0,0.0,4.0,0.0,1.0,0.0,473.0,691.0,68.5,6322.0,1699.0,26.0,62.0,41.9,415.0,552.0,75.2,32.0,77.0,41.6,8,6.8,1.2,29.0,19.0,21.0,1.0,57.0,679.0,12.0,1.0,3.0,209.0,9.0,46,0.0,0.0,0.0,0.0,446.0,141.0,104.0,103.0,476.0,41.0,4.0,10.0,4.0,14.0,28.0,29.0,1076.0,26.0,126.0,520.0,538.0,158.0,1064.0,69.0,114.0,60.5,73.0,3.0,796.0,6493.0,4167.0,1311.0,815.0,62.2,72.0,53.0,59,39,66.1,2.41,1.59,0.17,0.26,0.0,0.17,-0.2,-0.2
Mario Pašalić,CRO,MF,Atalanta,Serie A,24.0,188,82,35,30,2417,9,5,0,0,6,0,0.34,0.19,0.52,0.34,0.52,10.2,10.1,3.0,0.38,0.11,0.49,0.38,0.49,26.9,44.0,30,22.0,15.0,7.0,14.0,56.0,25.0,42.0,532.0,145.0,27.3,115.0,314.0,103.0,33.0,7.0,0.0,26.0,20,64,35.0,0.0,78.0,2.9,68.0,2.0,3.0,5.0,0.0,9.0,0.34,7.0,0.0,1.0,1.0,0.0,0.0,1278.0,1446.0,88.4,25200.0,5070.0,21.0,42.0,50.0,925.0,1021.0,90.6,332.0,383.0,86.7,5,3.0,2.0,40.0,116.0,25.0,5.0,112.0,1409.0,37.0,25.0,1.0,231.0,62.0,17,4.0,2.0,1.0,0.0,1083.0,200.0,163.0,400.0,959.0,48.0,4.0,6.0,4.0,10.0,22.0,21.0,1735.0,43.0,298.0,1019.0,523.0,114.0,1702.0,22.0,40.0,55.0,23.0,0.0,1280.0,7293.0,3313.0,1500.0,1317.0,87.8,35.0,28.0,59,17,28.8,2.2,0.63,0.15,0.53,0.0,0.17,-1.2,-1.1
Marius Bülter,GER,MF,Union Berlin,Bundesliga,26.0,188,85,32,28,2321,7,1,0,0,1,0,0.27,0.04,0.31,0.27,0.31,2.7,2.7,3.8,0.1,0.15,0.25,0.1,0.25,25.8,40.0,20,20.0,16.0,4.0,10.0,44.0,22.7,34.0,504.0,134.0,26.6,139.0,248.0,117.0,57.0,3.0,0.0,54.0,14,54,28.0,0.0,48.0,1.86,37.0,0.0,10.0,0.0,1.0,3.0,0.12,2.0,0.0,1.0,0.0,0.0,0.0,411.0,655.0,62.7,6834.0,2238.0,8.0,45.0,17.8,334.0,448.0,74.6,69.0,162.0,42.6,1,3.8,-2.8,28.0,27.0,22.0,10.0,64.0,626.0,29.0,1.0,2.0,150.0,16.0,60,0.0,0.0,0.0,0.0,321.0,161.0,173.0,198.0,362.0,35.0,27.0,11.0,3.0,18.0,15.0,42.0,1047.0,25.0,190.0,456.0,473.0,78.0,1021.0,66.0,106.0,62.3,69.0,5.0,727.0,5330.0,2894.0,956.0,653.0,68.3,61.0,70.0,40,15,37.5,1.55,0.58,0.18,0.47,0.0,0.07,4.3,4.3
Mark Noble,ENG,MF,West Ham,Premier League,32.0,177,76,33,32,2674,4,3,3,3,5,0,0.13,0.1,0.24,0.03,0.13,2.8,0.5,2.9,0.09,0.1,0.19,0.02,0.12,29.7,50.0,36,19.0,25.0,6.0,16.0,69.0,23.2,53.0,502.0,136.0,27.1,161.0,254.0,87.0,29.0,6.0,0.0,23.0,19,69,14.0,0.0,73.0,2.46,52.0,12.0,2.0,0.0,7.0,8.0,0.27,4.0,1.0,0.0,0.0,3.0,0.0,1217.0,1499.0,81.2,24632.0,7029.0,21.0,62.0,33.9,853.0,990.0,86.2,343.0,447.0,76.7,3,2.9,0.1,41.0,135.0,29.0,3.0,161.0,1387.0,112.0,62.0,5.0,268.0,66.0,21,14.0,9.0,2.0,1.0,890.0,287.0,322.0,104.0,1319.0,54.0,9.0,2.0,8.0,28.0,28.0,45.0,1735.0,37.0,311.0,1100.0,413.0,30.0,1626.0,29.0,41.0,70.7,32.0,0.0,1169.0,5694.0,2492.0,1324.0,1175.0,88.7,31.0,30.0,14,3,21.4,0.47,0.1,0.07,0.33,0.0,0.04,1.2,0.5
Marko Grujić,SRB,MF,Hertha BSC,Bundesliga,23.0,191,86,29,29,2415,4,1,0,0,9,0,0.15,0.04,0.19,0.15,0.19,4.4,4.4,0.6,0.16,0.02,0.18,0.16,0.18,26.8,69.0,36,28.0,32.0,9.0,23.0,68.0,33.8,45.0,572.0,153.0,26.7,196.0,295.0,81.0,50.0,14.0,0.0,36.0,20,89,80.0,0.0,35.0,1.3,28.0,1.0,3.0,2.0,1.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,883.0,1096.0,80.6,17038.0,4101.0,14.0,45.0,31.1,657.0,790.0,83.2,212.0,261.0,81.2,1,0.6,0.4,13.0,97.0,12.0,1.0,107.0,1068.0,28.0,23.0,1.0,277.0,34.0,4,0.0,0.0,0.0,0.0,698.0,200.0,198.0,168.0,791.0,70.0,2.0,4.0,3.0,19.0,16.0,31.0,1423.0,96.0,359.0,885.0,258.0,34.0,1402.0,30.0,38.0,78.9,30.0,2.0,881.0,4989.0,2572.0,1019.0,897.0,88.0,25.0,31.0,35,13,37.1,1.3,0.48,0.11,0.31,0.0,0.13,-0.4,-0.4
Marko Rog,CRO,MF,Cagliari,Serie A,24.0,180,73,30,28,2317,1,1,0,0,10,0,0.04,0.04,0.08,0.04,0.08,2.0,2.0,1.6,0.08,0.06,0.14,0.08,0.14,25.7,86.0,62,41.0,35.0,10.0,21.0,81.0,25.9,60.0,633.0,186.0,29.4,246.0,290.0,97.0,54.0,15.0,0.0,39.0,29,115,11.0,0.0,69.0,2.68,46.0,6.0,6.0,5.0,6.0,8.0,0.31,6.0,0.0,0.0,2.0,0.0,0.0,1007.0,1178.0,85.5,17424.0,4199.0,18.0,52.0,34.6,831.0,910.0,91.3,158.0,216.0,73.1,1,1.6,-0.6,28.0,89.0,10.0,3.0,101.0,1107.0,71.0,42.0,2.0,218.0,34.0,16,24.0,8.0,10.0,4.0,858.0,175.0,145.0,86.0,1029.0,40.0,5.0,2.0,5.0,13.0,15.0,31.0,1488.0,43.0,355.0,887.0,405.0,32.0,1426.0,59.0,78.0,75.6,62.0,0.0,1121.0,7322.0,4541.0,1068.0,968.0,90.6,28.0,50.0,30,8,26.7,1.17,0.31,0.03,0.13,1.0,0.07,-1.0,-1.0
Marten de Roon,NED,MF,Atalanta,Serie A,28.0,185,76,35,29,2721,2,5,0,0,12,0,0.07,0.17,0.23,0.07,0.23,1.7,1.7,2.1,0.06,0.07,0.13,0.06,0.13,30.2,75.0,49,28.0,33.0,14.0,36.0,97.0,37.1,61.0,653.0,201.0,30.8,188.0,355.0,110.0,52.0,8.0,0.0,44.0,28,103,59.0,1.0,61.0,2.02,58.0,1.0,0.0,1.0,1.0,10.0,0.33,10.0,0.0,0.0,0.0,0.0,0.0,1758.0,2021.0,87.0,32673.0,9743.0,16.0,46.0,34.8,1406.0,1531.0,91.8,336.0,444.0,75.7,5,2.1,2.9,30.0,175.0,24.0,5.0,189.0,1958.0,63.0,41.0,3.0,279.0,54.0,14,0.0,0.0,0.0,0.0,1544.0,222.0,255.0,257.0,1639.0,68.0,22.0,4.0,5.0,24.0,19.0,37.0,2300.0,81.0,518.0,1397.0,523.0,18.0,2241.0,12.0,19.0,63.2,12.0,1.0,1601.0,7816.0,3808.0,1709.0,1638.0,95.8,9.0,19.0,31,6,19.4,1.03,0.2,0.06,0.33,0.0,0.06,0.3,0.3
Martin Hinteregger,AUT,DF,Eint Frankfurt,Bundesliga,26.0,186,82,31,30,2721,8,1,0,0,8,0,0.26,0.03,0.3,0.26,0.3,3.7,3.7,0.6,0.12,0.02,0.14,0.12,0.14,30.2,67.0,47,36.0,28.0,3.0,25.0,54.0,46.3,29.0,329.0,117.0,35.6,191.0,118.0,20.0,60.0,20.0,2.0,40.0,21,88,154.0,0.0,29.0,0.96,22.0,0.0,1.0,6.0,0.0,2.0,0.07,0.0,0.0,0.0,2.0,0.0,0.0,1280.0,1651.0,77.5,28579.0,13123.0,10.0,40.0,25.0,851.0,995.0,85.5,419.0,616.0,68.0,1,0.6,0.4,7.0,104.0,9.0,2.0,172.0,1457.0,194.0,61.0,0.0,258.0,33.0,14,0.0,0.0,0.0,0.0,908.0,306.0,437.0,1126.0,250.0,102.0,133.0,7.0,5.0,46.0,17.0,36.0,2040.0,224.0,995.0,1004.0,187.0,55.0,1854.0,10.0,22.0,45.5,12.0,1.0,1142.0,7396.0,3602.0,1197.0,1134.0,94.7,21.0,10.0,45,17,37.8,1.49,0.56,0.18,0.47,1.0,0.09,4.3,4.3
